Country,Amount
NETHERLANDS    ,7250
INDONESIA,6539
THAILAND    ,6140
ITALY,5144
UNITED STATES OF AMERICA ,4531
FRANCE,3771
GERMANY,2669
CANADA,2248
COLOMBIA,1914
ECUADOR,1817
China,3177
SINGAPORE    ,1519
SWITZERLAND,1515
SOUTH AFRICA   ,1499
Australia,1423
MALAYSIA  ,1362
SPAIN,1282
PERU    ,1276
BELGIUM,1238
UNITED KINGDOM,1162
PHILIPPINES    ,1157
JAPAN,1065
UNITED ARAB EMIRATES ,971
MADAGASCAR  ,934
CZECH REPUBLIC,754
NAMIBIA  ,581
ZIMBABWE    ,564
FIJI,510
BRAZIL,496
MONACO  ,422
MEXICO  ,414
INDIA,389
VIETNAM   ,377
GUYANA,344
South KOREA,342
AUSTRIA,339
DENMARK,334
ARGENTINA,328
KUWAIT,283
TONGA    ,279
TURKEY    ,237
RUSSIA   ,235
PORTUGAL    ,182
QATAR    ,172
UNITED REPUBLIC OF TANZANIA,169
LAOs,168
KENYA,149
SURINAME    ,143
ZAMBIA    ,131
GREENLAND,124
PANAMA    ,120
OMAN    ,117
UZBEKISTAN    ,112
DOMINICAN REPUBLIC,109
NORWAY    ,108
NEW ZEALAND   ,107
SOLOMON ISLANDS   ,106
SWEDEN    ,103
UKRAINE    ,100
CUBA,96
LEBANON,96
BENIN,95
GREECE,92
SRI LANKA,90
NICARAGUA    ,88
URUGUAY    ,88
MOZAMBIQUE  ,84
LUXEMBOURG  ,83
JERSEY,82
KAZAKHSTAN,79
UNKNOWN,76
JAMAICA,75
VENEZUELA,74
DEMOCRATIC REPUBLIC OF the CONGO,73
LATVIA  ,72
EL SALVADOR   ,72
republic of SERBIA    ,70
MARSHALL ISLANDS ,69
GHANA,67
UGANDA    ,67
POLAND    ,65
PALAU    ,65
TOGO    ,65
"MICRONESIA, FEDERATED STATES OF",61
ivory coast,60
COSTA RICA,60
MALI  ,60
ETHIOPIA,58
The BAHAMAS,57
ESTONIA,57
PARAGUAY    ,56
HUNGARY,54
BAHRAIN,53
CAMEROON,52
MONGOLIA  ,52
BELARUS,51
ARMENIA,50
CAMBODIA,49
BARBADOS,48
CHILE,48
MOROCCO  ,48
SLOVENIA    ,47
MAURITIUS  ,46
SAUDI ARABIA   ,46
FINLAND,45
ISRAEL,44
GUATEMALA,39
PAKISTAN    ,39
TUNISIA    ,39
SEYCHELLES    ,38
south SUDAN    ,38
MALTA  ,37
BOLIVIA,36
BERMUDA,35
ROMANIA    ,34
SLOVAKIA    ,34
IRELAND,33
BULGARIA,31
SENEGAL    ,31
COOK ISLANDS,30
MACEDONIA  ,29
KYRGYZSTAN,26
PAPUA NEW GUINEA  ,26
INTRODUCTION FROM THE SEA ,26
BELIZE,25
GEORGIA,25
republic of the CONGO,24
LITHUANIA,24
HAITI,23
NEPAL    ,23
SAN MARINO   ,22
NIGERIA  ,20
HONDURAS,19
CAYMAN ISLANDS,19
GUERNSEY,18
EQUATORIAL GUINEA,18
IRAN,18
ICELAND,18
MYANMAR,18
SAINT KITTS AND NEVIS,17
CROATIA,16
NEW CALEDONIA ,16
TRINIDAD AND TOBAGO  ,16
VIRGIN ISLANDS (BRITISH)  ,16
JORDAN,15
TAJIKISTAN    ,15
MALAWI,13
TURKS AND CAICOS ISLANDS ,13
ANTIGUA AND BARBUDA,11
CENTRAL AFRICAN REPUBLIC,11
GABON,11
LIBERIA,11
AZERBAIJAN,10
BRITISH INDIAN OCEAN TERRITORY,10
MOLDOVA,10
SYRIa  ,10
FALKLAND ISLANDS (MALVINAS）,9
ALBANIA,8
ANTARCTICA,8
DOMINICA,8
EGYPT,8
FRENCH POLYNESIA,8
RWANDA    ,8
GAMBIA,7
GUINEA-BISSAU,7
MALDIVES,7
GRENADA,6
SAINT LUCIA,6
SAO TOME AND PRINCIPE ,6
SAINT HELENA AND DEPENDENCIES,5
YEMEN    ,5
BANGLADESH,4
GUINEA,4
SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,4
IRAQ,4
SAINT VINCENT AND THE GRENADINES,4
VANUATU    ,4
ANDORRA,3
ARUBA,3
BOTSWANA,3
CAPE VERDE,3
KIRIBATI,3
North KOREA,3
MONTENEGRO,3
SIERRA LEONE   ,3
CHAD,3
VARIOUS,3
BURUNDI,2
CYPRUS,2
ERITREA,2
GIBRALTAR,2
COMOROS,2
LIECHTENSTEIN,2
NETHERLANDS ANTILLES,1
BOSNIA AND HERZEGOVINA,1
FORMER EAST GERMANY,1
FAROE ISLANDS,1
GUADELOUPE,1
ISLE OF MAN,1
LESOTHO,1
NIGER,1
SWAZILAND,1
TOKELAU,1
TIMOR-LESTE,1
SAMOA,1
