Country,Country,Amount
CANADA,UNITED STATES OF AMERICA ,910
AUSTRALIA,UNITED STATES OF AMERICA ,425
BRAZIL,GERMANY,291
ARGENTINA,UNITED STATES OF AMERICA ,130
CANADA,FRANCE,125
BELGIUM,SWITZERLAND,113
AUSTRALIA,GERMANY,110
BELGIUM,UNITED STATES OF AMERICA ,106
CANADA,CHINA,92
CANADA,GERMANY,87
AUSTRALIA,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,79
CANADA,NETHERLANDS    ,73
AUSTRALIA,FRANCE,72
CANADA,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,72
AUSTRALIA,DENMARK,64
BRAZIL,UNITED STATES OF AMERICA ,63
AUSTRALIA,NEW ZEALAND   ,60
CANADA,NORWAY    ,53
AUSTRIA,SWITZERLAND,52
CANADA,AUSTRIA,51
AUSTRALIA,ARGENTINA,50
AUSTRALIA,ITALY,48
AUSTRALIA,SAN MARINO   ,48
BELGIUM,QATAR    ,44
CANADA,ITALY,44
BAHAMAS,UNITED STATES OF AMERICA ,40
CANADA,BELGIUM,40
CANADA,DENMARK,39
CANADA,NEW ZEALAND   ,39
AUSTRALIA,AUSTRIA,37
CANADA,AUSTRALIA,36
CANADA,SWITZERLAND,36
AUSTRALIA,NETHERLANDS    ,35
BELGIUM,ISRAEL,35
AUSTRIA,UNITED STATES OF AMERICA ,32
BELGIUM,SOUTH AFRICA   ,32
AUSTRALIA,CZECH REPUBLIC,31
CANADA,SWEDEN    ,30
AUSTRALIA,CHINA,29
BELGIUM,THAILAND    ,29
CANADA,SPAIN,29
CANADA,RUSSIAN FEDERATION   ,28
BELGIUM,BAHRAIN,25
AUSTRALIA,SPAIN,24
CANADA,POLAND    ,24
AUSTRALIA,BELGIUM,23
BENIN,UNITED STATES OF AMERICA ,23
BELGIUM,NEPAL    ,22
CANADA,MEXICO  ,22
BELIZE,UNITED STATES OF AMERICA ,21
CANADA,THAILAND    ,21
CANADA,CZECH REPUBLIC,20
BELGIUM,SENEGAL    ,19
BELGIUM,INDONESIA,18
BELGIUM,KUWAIT,18
BELGIUM,PHILIPPINES    ,18
ARGENTINA,CHINA,17
ARGENTINA,ITALY,17
AUSTRALIA,MALAYSIA  ,17
BELGIUM,"CONGO, DEMOCRATIC REPUBLIC OF THE",17
CANADA,FINLAND,17
BELGIUM,CANADA,16
ARGENTINA,GERMANY,15
ARGENTINA,KAZAKHSTAN,15
BARBADOS,UNITED STATES OF AMERICA ,15
BELGIUM,BANGLADESH,15
BELGIUM,CHINA,15
BELGIUM,MACAU  ,15
ARGENTINA,SPAIN,14
AUSTRIA,QATAR    ,14
BRAZIL,PORTUGAL    ,14
CANADA,GREECE,14
CANADA,HUNGARY,14
"CONGO, DEMOCRATIC REPUBLIC OF THE",UNITED STATES OF AMERICA ,14
AUSTRIA,CANADA,13
BELGIUM,BRAZIL,12
BAHRAIN,QATAR    ,12
BELARUS,UKRAINE    ,12
BELARUS,UNITED STATES OF AMERICA ,12
CANADA,SOUTH AFRICA   ,12
BELGIUM,JORDAN,11
BENIN,GHANA,11
BOLIVIA (PLURINATIONAL STATE OF),UNITED STATES OF AMERICA ,11
"CONGO, DEMOCRATIC REPUBLIC OF THE",GERMANY,11
AUSTRIA,TURKEY    ,10
BELGIUM,EGYPT,10
BELARUS,RUSSIAN FEDERATION   ,10
CANADA,LITHUANIA  ,10
CANADA,PHILIPPINES    ,10
ARGENTINA,CHILE,9
AUSTRIA,RUSSIAN FEDERATION   ,9
BELGIUM,KYRGYZSTAN,8
BELGIUM,NORWAY    ,8
BELGIUM,VIET NAM   ,8
BULGARIA,UNITED STATES OF AMERICA ,8
BRAZIL,FRANCE,8
CANADA,SLOVAKIA    ,8
CANADA,TURKEY    ,8
ANTIGUA AND BARBUDA,UNITED STATES OF AMERICA ,7
ARGENTINA,AUSTRIA,7
ARGENTINA,BRAZIL,7
AUSTRIA,AUSTRALIA,7
BELGIUM,NETHERLANDS ANTILLES,7
BELGIUM,CHILE,7
CANADA,BRAZIL,7
AUSTRIA,MALAYSIA  ,6
AUSTRALIA,SWEDEN    ,6
BELGIUM,MALDIVES  ,6
BENIN,CANADA,6
BENIN,PHILIPPINES    ,6
BENIN,THAILAND    ,6
BOLIVIA (PLURINATIONAL STATE OF),ITALY,6
BRAZIL,ITALY,6
BRAZIL,TURKEY    ,6
BELARUS,KAZAKHSTAN,6
CANADA,ARGENTINA,6
CANADA,LUXEMBOURG  ,6
CANADA,SAUDI ARABIA   ,6
ARGENTINA,MEXICO  ,5
AUSTRIA,ISRAEL,5
AUSTRIA,PHILIPPINES    ,5
AUSTRIA,UKRAINE    ,5
BARBADOS,FRANCE,5
BELGIUM,NEW CALEDONIA ,5
BENIN,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,5
BENIN,TOGO    ,5
CANADA,ISRAEL,5
CANADA,MACAU  ,5
CANADA,PORTUGAL    ,5
"CONGO, DEMOCRATIC REPUBLIC OF THE",CHINA,5
"CONGO, DEMOCRATIC REPUBLIC OF THE",THAILAND    ,5
CENTRAL AFRICAN REPUBLIC,UNITED STATES OF AMERICA ,5
ALBANIA,GERMANY,4
